MemberId,company,createdAt,currency,isActive,lastTransactionAmount,lastTransactionAt,role,tier,totalAmountDonated,type,profile,twitter,github,website
541544,,2024-03-01 12:56,USD,True,10,2024-03-01 12:56,BACKER,0,10,USER,https://opencollective.com/guest-002058e0,,,
541910,,2024-03-02 14:30,USD,True,10,2024-03-02 14:30,BACKER,0,10,USER,https://opencollective.com/guest-d176ee77,,,
547824,,2024-03-16 18:07,USD,True,10,2024-03-16 18:07,BACKER,0,10,USER,https://opencollective.com/guest-3d490ab7,,,
549542,,2024-03-20 21:31,USD,True,5,2024-03-20 21:31,BACKER,0,5,USER,https://opencollective.com/guest-85e99aab,,,
549725,,2024-03-21 10:09,USD,True,5,2024-03-21 10:09,BACKER,0,5,USER,https://opencollective.com/guest-56751e2d,,,
552071,,2024-03-28 15:43,USD,True,5,2024-03-28 15:43,BACKER,0,5,USER,https://opencollective.com/gett,,,
552105,,2024-03-28 17:48,USD,True,20,2024-03-28 17:48,BACKER,0,20,USER,https://opencollective.com/guest-26337925,,,
552701,,2024-03-30 18:02,USD,True,73.26,2024-03-30 18:02,BACKER,0,73.26,USER,https://opencollective.com/christopher-markieta,,,
553055,,2024-04-01 08:53,USD,True,20,2024-04-01 08:53,BACKER,0,20,USER,https://opencollective.com/d-eck,,,
553056,,2024-04-01 08:54,0,True,0,2024-08-27 09:29,FOLLOWER,0,20,USER,https://opencollective.com/d-eck,,,
553879,,2024-04-03 12:56,USD,True,1,2024-08-02 04:09,BACKER,0,5,USER,https://opencollective.com/abpai94,,https://github.com/abpai94,https://www.abhishekpai.co.uk/
554834,,2024-04-06 16:04,0,True,0,2024-08-27 09:29,FOLLOWER,0,0,USER,https://opencollective.com/rpb,,,
555061,,2024-04-07 20:46,USD,True,10,2024-04-07 20:46,BACKER,0,10,USER,https://opencollective.com/dustin9,,,
555431,,2024-04-09 08:38,USD,True,5,2024-04-09 08:38,BACKER,0,5,USER,https://opencollective.com/guest-bd8f851e,,,
555606,,2024-04-09 20:08,USD,True,20,2024-04-09 20:08,BACKER,0,20,USER,https://opencollective.com/guest-fb4f6333,,,
556026,,2024-04-11 10:27,USD,True,20,2024-04-11 10:27,BACKER,0,20,USER,https://opencollective.com/guest-79ad765f,,,
557144,,2024-04-15 21:06,USD,True,20,2024-04-15 21:06,BACKER,0,20,USER,https://opencollective.com/guest-31d4097a,,,
558057,,2024-04-19 10:36,USD,True,20,2024-04-19 10:36,BACKER,0,20,USER,https://opencollective.com/arvin-medina,,,
558456,,2024-04-21 01:54,0,True,0,2024-08-27 09:29,FOLLOWER,0,0,USER,https://opencollective.com/brycen,,,
